"Material","Date","Open","High","Low","Close","Adj Close","Volume"
"TATA STEEL","1/1/2015","37.833172","38.681107","37.833172","38.533432","30.167744","26570816"
"TATA STEEL","1/2/2015","38.681107","39.348022","38.681107","39.133656","30.637663","36043328"
"TATA STEEL","1/5/2015","39.348022","40.153084","39.348022","39.700535","31.081472","54638866"
"TATA STEEL","1/6/2015","39.443295","39.443295","37.571171","37.776009","29.57476","64767961"
"TATA STEEL","1/7/2015","37.899864","37.899864","36.546978","37.051926","29.007879","49846923"
"TATA STEEL","1/8/2015","37.537823","37.795063","37.213894","37.628334","29.459146","33271702"
"TATA STEEL","1/9/2015","38.300011","38.576305","37.642624","38.076118","29.809717","53120660"
"TATA STEEL","1/12/2015","38.061829","38.061829","37.442551","37.799828","29.59341","28244762"
"TATA STEEL","1/13/2015","37.823643","37.999901","37.175781","37.299641","29.201813","31517083"
"TATA STEEL","1/14/2015","37.294876","37.294876","35.775261","35.903881","28.109083","74832453"
"TATA STEEL","1/15/2015","36.089664","37.032871","35.451328","36.656544","28.698334","73591596"
"TATA STEEL","1/16/2015","36.394539","36.727997","35.851479","36.527924","28.597637","47636637"
"TATA STEEL","1/19/2015","36.64225","36.861382","36.256393","36.656544","28.698334","29282226"
"TATA STEEL","1/20/2015","36.737522","38.45245","36.737522","38.300011","29.985003","63164170"
"TATA STEEL","1/21/2015","38.585835","38.681107","37.490185","37.833172","29.619514","40910854"
"TATA STEEL","1/22/2015","37.918919","38.557251","37.728371","38.433395","30.089428","47523195"
"TATA STEEL","1/23/2015","39.062202","39.25275","38.014191","38.404812","30.067049","47511356"
"TATA STEEL","1/27/2015","38.376232","38.490559","37.680733","37.957027","29.716476","41693694"
"TATA STEEL","1/28/2015","37.823643","37.823643","37.051926","37.266293","29.175707","41936541"
"TATA STEEL","1/29/2015","37.18531","37.385384","36.556503","37.194839","29.119764","54190694"
"TATA STEEL","1/30/2015","37.394913","37.633099","36.823273","37.1996","29.123491","37794421"
"TATA STEEL","2/2/2015","37.147202","37.61404","36.413593","36.570793","28.631205","33367248"
"TATA STEEL","2/3/2015","36.870907","36.91378","36.022972","36.308792","28.426079","36144668"
"TATA STEEL","2/4/2015","36.575558","37.480659","36.489815","37.080509","29.030254","46397942"
"TATA STEEL","2/5/2015","37.318695","37.423496","36.018208","36.132538","28.288094","32560341"
"TATA STEEL","2/6/2015","36.203991","36.270683","34.965435","35.122635","27.49744","47436351"
"TATA STEEL","2/9/2015","34.012699","34.441429","32.983742","33.102833","25.916142","79096076"
"TATA STEEL","2/10/2015","32.869415","34.298519","32.869415","34.084152","26.684418","55432170"
"TATA STEEL","2/11/2015","34.298519","35.127399","33.631603","34.774887","27.225195","41529388"
"TATA STEEL","2/12/2015","34.889214","35.003544","33.917423","34.803471","27.24757","35851376"
"TATA STEEL","2/13/2015","35.127399","35.422749","34.798706","34.922562","27.340807","39218246"
"TATA STEEL","2/16/2015","35.132164","35.675224","35.094055","35.232201","27.58322","31397658"
"TATA STEEL","2/18/2015","35.437038","35.437038","34.746304","35.013069","27.411665","33930341"
"TATA STEEL","2/19/2015","35.060707","36.184937","35.060707","35.751442","27.989737","81372182"
"TATA STEEL","2/20/2015","36.013447","36.380249","35.537075","35.699039","27.948708","36131716"
"TATA STEEL","2/23/2015","35.870533","35.908642","34.774887","34.998779","27.400476","32382306"
"TATA STEEL","2/24/2015","35.070236","35.251255","34.031754","34.212772","26.785116","34512444"
"TATA STEEL","2/25/2015","34.565285","34.755833","33.355309","33.431526","26.173473","41274249"
"TATA STEEL","2/26/2015","33.564911","33.812622","32.797958","32.88847","25.74832","84644220"
"TATA STEEL","2/27/2015","33.102833","33.793568","32.945633","33.407711","26.154831","52634461"
"TATA STEEL","2/28/2015","null","null","null","null","null","null"
"TATA STEEL","3/2/2015","34.050808","34.222301","33.250507","33.58873","26.296547","45976126"
"TATA STEEL","3/3/2015","33.631603","34.093681","33.298145","33.645893","26.341303","53751517"
"TATA STEEL","3/4/2015","33.917423","34.026989","32.926579","33.169525","25.968357","49051635"
"TATA STEEL","3/5/2015","33.202869","33.269562","32.512138","32.702686","25.602871","50067718"
"TATA STEEL","3/9/2015","32.702686","32.74556","31.916677","32.040531","25.084467","45854906"
"TATA STEEL","3/10/2015","32.216789","32.297771","31.445072","31.592747","24.733898","42948363"
"TATA STEEL","3/11/2015","31.72613","31.916677","30.892485","30.992521","24.263985","49145480"
"TATA STEEL","3/12/2015","31.221178","32.05006","31.197361","31.745184","24.853239","45390518"
"TATA STEEL","3/13/2015","32.011951","32.054825","30.96394","31.106852","24.353493","34423720"
"TATA STEEL","3/16/2015","31.330744","31.330744","30.782921","31.078268","24.331116","29148663"
"TATA STEEL","3/17/2015","31.44031","32.054825","31.164015","31.683256","24.80476","45438233"
"TATA STEEL","3/18/2015","31.98337","31.98337","31.378382","31.607038","24.745089","32534625"
"TATA STEEL","3/19/2015","31.845222","32.850361","31.788057","32.069115","25.106846","64537645"
"TATA STEEL","3/20/2015","32.069115","32.526428","31.154488","31.316454","24.51759","60626733"
"TATA STEEL","3/23/2015","31.483183","31.916677","31.306927","31.573692","24.718983","37579430"
"TATA STEEL","3/24/2015","31.449837","31.811876","30.892485","31.168779","24.401976","46746811"
"TATA STEEL","3/25/2015","31.249762","31.340271","30.67812","30.787683","24.103617","37206304"
"TATA STEEL","3/26/2015","30.773394","30.959177","29.91593","30.068369","23.540466","68402890"
"TATA STEEL","3/27/2015","30.239861","30.425644","29.649164","30.020731","23.50317","42185886"
"TATA STEEL","3/30/2015","30.297026","30.954412","30.025496","30.716228","24.047674","31389356"
"TATA STEEL","3/31/2015","31.087795","31.097322","30.030258","30.177933","23.626242","41301004"
"TATA STEEL","4/1/2015","30.201752","30.954412","30.106478","30.835321","24.140913","32391543"
"TATA STEEL","4/6/2015","30.906776","31.021105","30.163643","30.306553","23.72694","38517191"
"TATA STEEL","4/7/2015","30.516153","31.935732","30.201752","31.773766","24.875618","76555500"
"TATA STEEL","4/8/2015","32.021477","32.288242","31.306927","32.021477","25.069551","65964997"
"TATA STEEL","4/9/2015","32.154861","33.098068","32.107224","32.969452","25.811718","64566720"
"TATA STEEL","4/10/2015","32.936104","33.250507","32.512138","32.650284","25.561844","50551514"
"TATA STEEL","4/13/2015","32.797958","33.179054","32.497845","32.88847","25.74832","36136932"
"TATA STEEL","4/15/2015","32.869415","32.88847","32.031006","32.169151","25.185162","33587067"
"TATA STEEL","4/16/2015","32.240608","32.712212","31.77853","32.173916","25.188896","39577978"
"TATA STEEL","4/17/2015","32.083405","33.555386","31.930967","32.964687","25.807987","73270741"
"TATA STEEL","4/20/2015","33.202869","33.755459","32.312061","32.817013","25.692379","65778471"
"TATA STEEL","4/21/2015","33.012325","33.536327","32.731266","33.179054","25.975817","52428633"
"TATA STEEL","4/22/2015","33.341019","33.774513","32.512138","33.4744","26.207041","50216626"
"TATA STEEL","4/23/2015","33.822151","35.341766","33.755459","35.198856","27.557117","127971125"
"TATA STEEL","4/24/2015","35.422749","35.708569","34.54623","35.298893","27.635435","88782331"
"TATA STEEL","4/27/2015","35.165508","35.518021","34.441429","35.146454","27.516087","52444209"
"TATA STEEL","4/28/2015","35.251255","35.637115","34.879688","35.370346","27.691376","43662643"
"TATA STEEL","4/29/2015","35.432274","36.137299","35.060707","35.24649","27.594412","57228679"
"TATA STEEL","4/30/2015","35.060707","35.146454","34.212772","34.331863","26.878347","64867495"
"TATA STEEL","5/4/2015","34.446194","34.946381","34.031754","34.455719","26.975313","34305965"
"TATA STEEL","5/5/2015","34.717724","36.299267","34.570049","36.21352","28.351496","80454027"
"TATA STEEL","5/6/2015","36.299267","36.632725","34.870159","35.027363","27.422855","62965679"
"TATA STEEL","5/7/2015","34.855869","35.313183","34.346153","34.994015","27.396748","43462461"
"TATA STEEL","5/8/2015","35.260784","35.727623","34.68914","34.936852","27.35199","36242093"
"TATA STEEL","5/11/2015","35.451328","36.337376","35.298893","35.927696","28.12772","46997300"
"TATA STEEL","5/12/2015","35.760967","35.822899","33.58873","33.688766","26.374866","57462038"
